filename,pt_count,onnx_count,count_diff,pt_mean_conf,onnx_mean_conf,pt_max_conf,onnx_max_conf
crazing_240.jpg,2,2,0,0.5465138852596283,0.5466195344924927,0.6402923464775085,0.6402616500854492
crazing_241.jpg,3,3,0,0.39062898357709247,0.39065895477930707,0.44579318165779114,0.4459228515625
crazing_242.jpg,3,3,0,0.5102986892064413,0.5101031462351481,0.7584626078605652,0.7583955526351929
crazing_243.jpg,3,3,0,0.35565300782521564,0.3557362159093221,0.3928735852241516,0.3929172158241272
crazing_244.jpg,3,3,0,0.36923977732658386,0.369248886903127,0.4807964861392975,0.480648398399353
crazing_245.jpg,2,2,0,0.3978668600320816,0.39811447262763977,0.4998295307159424,0.4999561309814453
crazing_246.jpg,3,3,0,0.5603582958380381,0.5601898630460104,0.6500039100646973,0.6495945453643799
crazing_247.jpg,3,3,0,0.4557577172915141,0.45568905274073285,0.6117082238197327,0.6116450428962708
crazing_248.jpg,3,3,0,0.38433290521303815,0.3843473196029663,0.4652387499809265,0.46514391899108887
crazing_249.jpg,4,4,0,0.4466262459754944,0.446736142039299,0.5622475147247314,0.5624003410339355
crazing_250.jpg,4,4,0,0.3894456848502159,0.3895777761936188,0.4344010353088379,0.4342249631881714
crazing_251.jpg,2,2,0,0.36500251293182373,0.36500781774520874,0.47692418098449707,0.47681665420532227
crazing_252.jpg,3,3,0,0.33578144510587055,0.3356006940205892,0.3418600857257843,0.3416867256164551
crazing_253.jpg,2,2,0,0.31686365604400635,0.3170487582683563,0.3422115445137024,0.34252631664276123
crazing_254.jpg,3,3,0,0.37975651025772095,0.37994468212127686,0.5763612985610962,0.5762811899185181
crazing_255.jpg,2,2,0,0.47810377180576324,0.47775566577911377,0.5782606601715088,0.5779816508293152
crazing_256.jpg,4,4,0,0.3770035058259964,0.3770744651556015,0.4846460223197937,0.4851330518722534
crazing_257.jpg,6,6,0,0.3532731731732686,0.3532472848892212,0.47034844756126404,0.4701084494590759
crazing_258.jpg,1,1,0,0.3905620872974396,0.39068806171417236,0.3905620872974396,0.39068806171417236
crazing_259.jpg,2,2,0,0.5688235908746719,0.5687960088253021,0.6717854738235474,0.6717066764831543
crazing_260.jpg,3,3,0,0.33129578828811646,0.3309362729390462,0.3755376935005188,0.37502557039260864
crazing_261.jpg,2,2,0,0.3092668205499649,0.30948519706726074,0.3302246928215027,0.33062422275543213
crazing_262.jpg,2,2,0,0.3411725014448166,0.34077155590057373,0.3537590503692627,0.3539929986000061
crazing_263.jpg,3,3,0,0.41765780250231427,0.41782597700754803,0.5783802270889282,0.5782979130744934
crazing_264.jpg,3,3,0,0.5516746938228607,0.5516366958618164,0.6801328659057617,0.6801705360412598
crazing_265.jpg,6,6,0,0.45086843768755597,0.4506091872851054,0.5732709169387817,0.5731754899024963
crazing_266.jpg,3,3,0,0.41877981026967365,0.4187585910161336,0.5122106671333313,0.512384831905365
crazing_267.jpg,3,3,0,0.3572754164536794,0.35710928837458294,0.41913625597953796,0.4191298484802246
crazing_268.jpg,2,2,0,0.5201380699872971,0.5200061202049255,0.6351171135902405,0.6351011991500854
crazing_269.jpg,3,3,0,0.31824835141499835,0.31814682483673096,0.3672100007534027,0.3671167492866516
crazing_270.jpg,3,3,0,0.3975437978903453,0.39767752091089886,0.43448343873023987,0.43454694747924805
crazing_271.jpg,4,4,0,0.41420403867959976,0.4142778068780899,0.7702867388725281,0.7704587578773499
crazing_272.jpg,3,3,0,0.41152650117874146,0.41155433654785156,0.4514640271663666,0.4513688087463379
crazing_273.jpg,3,3,0,0.37955302000045776,0.37955307960510254,0.5475674867630005,0.5474042892456055
crazing_274.jpg,3,3,0,0.3749852776527405,0.37509957949320477,0.4064689576625824,0.4062846899032593
crazing_275.jpg,4,4,0,0.4852328673005104,0.48522062599658966,0.5721983313560486,0.5722376704216003
crazing_276.jpg,2,2,0,0.42776888608932495,0.4274072051048279,0.5546686053276062,0.5542692542076111
crazing_277.jpg,3,3,0,0.30213160316149396,0.30204174915949505,0.3617136478424072,0.3618478775024414
crazing_278.jpg,3,3,0,0.4562728504339854,0.4561715324719747,0.5844883322715759,0.5843795537948608
crazing_279.jpg,3,3,0,0.30634812513987225,0.30641857782999676,0.35039022564888,0.3503116965293884
crazing_280.jpg,1,1,0,0.39249488711357117,0.39196616411209106,0.39249488711357117,0.39196616411209106
crazing_281.jpg,2,2,0,0.4149804562330246,0.4146394431591034,0.5405395030975342,0.5403167009353638
crazing_282.jpg,4,4,0,0.36188050359487534,0.36181575059890747,0.44788506627082825,0.44757866859436035
crazing_283.jpg,3,3,0,0.4099402030309041,0.4098254243532817,0.6459018588066101,0.645734429359436
crazing_284.jpg,3,3,0,0.34793009360631305,0.3478381435076396,0.38249340653419495,0.3825468420982361
crazing_285.jpg,2,2,0,0.29350514709949493,0.29347774386405945,0.30126193165779114,0.3012464642524719
crazing_286.jpg,4,4,0,0.4058714583516121,0.4058821201324463,0.510256826877594,0.5102665424346924
crazing_287.jpg,4,4,0,0.3442624434828758,0.3443506062030792,0.37244972586631775,0.37237727642059326
crazing_288.jpg,3,2,-1,0.3766000270843506,0.4399338662624359,0.5210117697715759,0.5212540030479431
crazing_289.jpg,1,1,0,0.4579690396785736,0.4576554298400879,0.4579690396785736,0.4576554298400879
